objectid,filename,title,format,subject,creator,date,description,,location,latitude,longitude,source,identifier,type,youtubeid,language,rights,rightsstatement,polaridad,tipologia,soporte,iluminacion,tono,proceso
impresion_097,impresion_096.jpg,impresion_097,image/jpeg,,,,,,,,,,,,,,,,positivo,impresion,papel,reflexion,policromatico,
impresion_098,impresion_097.jpg,impresion_098,image/jpeg,,,,,,,,,,,,,,,,positivo,impresion,plastico,reflexion,policromatico,
impresion_099,impresion_098.jpg,impresion_099,image/jpeg,,,,,,,,,,,,,,,,positivo,impresion,plastico,reflexion,policromatico,
impresion_100,impresion_099.jpg,impresion_100,image/jpeg,,,,,,,,,,,,,,,,positivo,impresion,plastico,reflexion,policromatico,
impresion_101,impresion_100.jpg,impresion_101,image/jpeg,,,,,,,,,,,,,,,,positivo,impresion,plastico,reflexion,policromatico,
impresion_102,impresion_101.jpg,impresion_102,image/jpeg,,,,,,,,,,,,,,,,positivo,impresion,plastico,reflexion,policromatico,
impresion_103,impresion_102.jpg,impresion_103,image/jpeg,,,,,,,,,,,,,,,,positivo,impresion,,reflexion,,
impresion_104,impresion_103.jpg,impresion_104,image/jpeg,,,,,,,,,,,,,,,,positivo,impresion,,reflexion,,
impresion_105,impresion_104.jpg,impresion_105,image/jpeg,,,,,,,,,,,,,,,,positivo,impresion,,reflexion,,
impresion_106,impresion_105.jpg,impresion_106,image/jpeg,,,,,,,,,,,,,,,,positivo,impresion,,reflexion,,
impresion_107,impresion_106.jpg,impresion_107,image/jpeg,,,,,,,,,,,,,,,,positivo,impresion,,reflexion,,
impresion_108,impresion_107.jpg,impresion_108,image/jpeg,,,,,,,,,,,,,,,,positivo,impresion,,reflexion,,
impresion_109,impresion_108.jpg,impresion_109,image/jpeg,,,,,,,,,,,,,,,,positivo,impresion,,reflexion,,
impresion_110,impresion_109.jpg,impresion_110,image/jpeg,,,,,,,,,,,,,,,,positivo,impresion,,reflexion,,
impresion_111,impresion_110.jpg,impresion_111,image/jpeg,,,,,,,,,,,,,,,,positivo,impresion,,reflexion,,
impresion_112,impresion_111.jpg,impresion_112,image/jpeg,,,,,,,,,,,,,,,,positivo,impresion,,reflexion,,
impresion_113,impresion_112.jpg,impresion_113,image/jpeg,,,,,,,,,,,,,,,,positivo,impresion,,reflexion,,
impresion_114,impresion_113.jpg,impresion_114,image/jpeg,,,,,,,,,,,,,,,,positivo,impresion,,reflexion,,
impresion_115,impresion_114.jpg,impresion_115,image/jpeg,,,,,,,,,,,,,,,,positivo,impresion,,reflexion,,
impresion_116,impresion_115.jpg,impresion_116,image/jpeg,,,,,,,,,,,,,,,,positivo,impresion,,reflexion,,
impresion_117,impresion_116.jpg,impresion_117,image/jpeg,,,,,,,,,,,,,,,,positivo,impresion,,reflexion,,
impresion_118,impresion_117.jpg,impresion_118,image/jpeg,,,,,,,,,,,,,,,,positivo,impresion,,reflexion,,
impresion_119,impresion_118.jpg,impresion_119,image/jpeg,,,,,,,,,,,,,,,,positivo,impresion,,reflexion,,
impresion_120,impresion_119.jpg,impresion_120,image/jpeg,,,,,,,,,,,,,,,,positivo,impresion,,reflexion,,
impresion_121,impresion_120.jpg,impresion_121,image/jpeg,,,,,,,,,,,,,,,,positivo,impresion,,reflexion,,
impresion_122,impresion_121.jpg,impresion_122,image/jpeg,,,,,,,,,,,,,,,,positivo,impresion,,reflexion,,
impresion_123,impresion_122.jpg,impresion_123,image/jpeg,,,,,,,,,,,,,,,,positivo,impresion,,reflexion,,
impresion_124,impresion_123.jpg,impresion_124,image/jpeg,,,,,,,,,,,,,,,,positivo,impresion,,reflexion,,
impresion_125,impresion_124.jpg,impresion_125,image/jpeg,,,,,,,,,,,,,,,,positivo,impresion,,reflexion,,
impresion_126,impresion_125.jpg,impresion_126,image/jpeg,,,,,,,,,,,,,,,,positivo,impresion,,reflexion,,
impresion_127,impresion_126.jpg,impresion_127,image/jpeg,,,,,,,,,,,,,,,,positivo,impresion,,reflexion,,
impresion_128,impresion_127.jpg,impresion_128,image/jpeg,,,,,,,,,,,,,,,,positivo,impresion,,reflexion,,
impresion_129,impresion_128.jpg,impresion_129,image/jpeg,,,,,,,,,,,,,,,,positivo,impresion,,reflexion,,
impresion_130,impresion_129.jpg,impresion_130,image/jpeg,,,,,,,,,,,,,,,,positivo,impresion,,reflexion,,
impresion_131,impresion_130.jpg,impresion_131,image/jpeg,,,,,,,,,,,,,,,,positivo,impresion,,reflexion,,
impresion_132,impresion_131.jpg,impresion_132,image/jpeg,,,,,,,,,,,,,,,,positivo,impresion,,reflexion,,
,impresion_132.jpg,impresion_132,image/jpeg,,,,,,,,,,,,,,,,positivo,impresion,,reflexion,,
